"","TCGA-C8-A3M8-01A-11R-A213-07","TCGA-A7-A3J1-01A-11R-A213-07","TCGA-BH-A8FY-01A-11R-A36F-07","TCGA-BH-A8FZ-01A-11R-A352-07","TCGA-A2-A0EP-01A-52R-A22U-07","TCGA-OL-A66J-01A-11R-A29R-07","TCGA-EW-A1J3-01A-11R-A13Q-07","TCGA-E2-A14U-01A-11R-A22K-07","TCGA-B6-A40B-01A-11R-A239-07","TCGA-GM-A2DO-01A-11R-A18M-07","TCGA-LL-A440-01A-11R-A24H-07","TCGA-E2-A576-01A-11R-A31O-07","TCGA-E2-A1IH-01A-11R-A13Q-07","TCGA-B6-A0IP-01A-11R-A034-07","TCGA-D8-A4Z1-01A-21R-A266-07","TCGA-AR-A2LE-01A-11R-A180-07","TCGA-WT-AB44-01A-11R-A41B-07","TCGA-AR-A1AK-01A-21R-A12P-07","TCGA-AC-A3QQ-01B-06R-A22O-07","TCGA-E2-A1IJ-01A-11R-A144-07"
"JPH1",512,173,620,288,119,170,97,438,1040,86,241,401,1126,106,133,321,138,81,42,147
"JPH2",224,100,89,393,79,109,81,2232,98,16,926,53,93,309,737,77,63,438,40,326
"JPH3",40,32,2,14,27,14,18,11,95,6,34,30,61,39,16,27,32,45,14,64
"JPH4",30,72,28,143,95,37,93,231,25,8,98,27,75,72,56,23,17,52,44,31
"JPT1",7340,3315,1802,3834,3850,2688,6496,2719,6751,1587,2618,7637,5970,7493,1469,1975,4314,2909,335,3282
"JPT2",14936,14153,7152,12112,7709,8674,21334,18679,14390,3655,7184,12665,12671,26047,7391,8055,5951,12926,3709,7530
"JPX",2150,2000,936,771,1204,1636,1668,1374,1589,679,1222,1412,2226,1882,885,1021,597,919,727,772
"JRK",1513,2451,707,728,1294,827,781,1807,1077,477,2244,2048,927,2465,1307,1022,330,1033,568,642
"JRKL",642,573,306,521,772,280,696,824,628,204,1072,139,1099,438,584,370,443,475,116,619
"JRKL-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"JSRP1",52,50,24,73,183,43,4,42,132,74,48,126,64,29,109,13,8,5,0,45
"JTB",26594,12637,9914,6521,10266,5678,12457,8332,15325,2709,8111,11559,14482,15179,3821,4787,12355,7806,1081,6298
"JTBP1",0,2,0,1,0,1,1,1,0,0,0,1,0,2,2,0,0,0,6,1
"JUN",13554,17682,6135,20059,58272,21032,11639,83484,63742,1268,36675,3226,14974,7482,20025,18885,11471,30792,4780,13158
"JUNB",13713,24173,4961,53331,85277,26635,4732,36053,111163,1011,26257,8958,14480,5302,9364,17275,10022,21787,1058,6601
"JUND",11175,12342,9353,32880,33580,14697,17036,34884,45290,2558,25549,15834,14008,7307,7697,3998,12055,11392,6832,4852
"JUP",63294,41352,15664,20914,11312,34981,14901,37465,46521,8750,18002,40821,26989,43772,18966,17823,12818,28043,3844,17376
"KAAG1",8,1,6,5,0,1,1,9,67,3,6,11,16,3,3,0,1,4,6,11
"KALRN",2207,838,239,641,926,1506,367,884,1223,155,1361,366,903,443,686,434,133,813,504,504
"KANK1",2474,4285,992,1820,2756,2004,1704,3636,2439,164,3869,986,1740,3464,3055,3127,1081,2362,1017,948
"KANK1P1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"KANK2",7054,8603,1866,4161,7597,4679,4028,2895,4293,831,10561,2043,5148,5061,5578,2283,1339,5162,1663,4559
"KANK3",654,503,187,421,1369,780,61,463,334,95,1255,658,131,168,572,150,71,448,13,197
"KANK4",561,490,22,343,390,421,648,88,774,4,538,50,1935,490,226,2251,189,116,344,1263
"KANSL1",8284,7861,1792,2897,3124,2897,3250,6176,3698,1283,4814,2234,4952,7296,3890,3466,820,5570,5830,3173
"KANSL1-AS1",79,452,63,52,75,156,416,155,168,55,226,58,123,229,102,32,122,73,44,127
"KANSL1L",1123,679,203,668,662,539,1412,893,451,215,1006,222,830,662,680,338,257,530,692,318
"KANSL2",2666,2337,858,1738,1633,1630,1919,1938,1643,633,1535,1368,2721,2334,1120,1321,872,1569,318,1108
"KANSL3",6744,11950,3341,4875,4403,5724,8409,8951,4874,2980,5728,4877,4720,10836,4794,5210,3050,6056,3751,2460
"KANTR",55,202,62,46,47,33,157,51,46,19,88,895,71,67,29,58,10,42,212,26
"KARS",10989,6151,3748,5219,7714,3960,6130,7368,5785,2404,5429,5774,8836,7207,3625,3731,3081,4490,587,3644
"KARSP1",0,1,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,120,0
"KARSP2",0,1,1,0,5,0,7,3,2,1,1,0,0,2,2,0,0,3,0,1
"KARSP3",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
"KAT14",3501,2513,917,617,1088,1371,2355,1926,1297,557,1410,1827,1998,2186,940,1187,474,955,424,560
"KAT2A",10097,6468,4152,2617,3948,3107,6537,6479,5310,2732,6938,8414,3410,3900,3331,1914,4370,3686,471,1798
"KAT2B",965,2801,286,1045,2025,659,496,609,765,640,1566,117,1295,870,915,1219,184,1132,428,705
"KAT5",1462,2610,1073,1485,1745,998,4126,2893,1376,501,2074,1330,1361,3372,1710,1229,308,1273,346,1004
"KAT6A",8449,10143,1475,3118,3794,2879,4806,5066,3452,1020,5005,3462,4367,6685,4573,3202,1060,4203,4038,2518
"KAT6B",19084,14108,1886,2168,2778,4532,11004,4599,6200,1268,2885,993,2784,6836,3578,18732,630,3584,6354,2075
"KAT7",5932,6132,1546,2162,2609,1592,4549,4453,2853,1010,2972,1618,4563,5361,2390,3106,655,4983,3161,2436
"KAT8",2426,4311,2330,2852,3047,1866,3407,4704,5175,2070,3166,2835,2923,4141,1995,1350,2123,1896,647,1623
"KATNA1",1122,1088,624,796,1171,875,1116,1275,1141,368,1019,1495,1330,1499,725,647,483,865,239,589
"KATNAL1",1066,1819,334,476,1117,1203,1276,1044,1121,372,1406,551,1810,1085,878,2313,230,908,612,670
"KATNAL2",316,510,225,203,276,293,259,449,553,120,271,632,160,471,259,127,247,217,144,183
"KATNB1",2494,1821,818,1058,1511,868,479,1907,1212,346,1499,922,692,1105,1126,656,310,947,50,621
"KATNBL1",1599,1360,949,1046,1514,1479,2138,1418,1617,619,1680,647,2010,1414,833,1004,668,1108,341,595
"KATNBL1P1",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,19,0
"KATNBL1P2",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,1
"KATNBL1P3",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"KATNBL1P4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KATNBL1P5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KATNBL1P6",1,1,1,1,0,3,3,1,0,0,0,0,1,1,0,0,0,1,0,1
"KAZALD1",712,562,231,1162,1051,167,69,349,3515,56,598,689,221,434,246,281,1089,1109,223,1160
"KAZN",773,5798,1122,1555,1519,711,3050,2450,1500,197,1875,405,687,2423,1288,1660,368,1300,988,600
"KAZN-AS1",0,4,3,0,1,1,11,7,0,2,2,0,2,4,0,0,0,0,35,1
"KBTBD11",272,1123,73,183,406,220,263,314,155,168,569,213,159,288,181,199,131,531,52,148
"KBTBD11-OT1",5,8,0,0,2,0,1,3,4,5,6,13,0,5,2,0,9,4,1,1
"KBTBD12",7,14,4,17,3,2,2,10,2,2,14,0,4,3,16,2,2,4,13,3
"KBTBD13",1,3,0,1,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0
"KBTBD2",4915,5056,2021,3170,4098,3123,5618,3098,2826,1397,4072,2154,6256,4275,2233,3232,1411,3792,1117,2623
"KBTBD3",171,385,252,172,332,189,330,538,170,103,324,266,357,535,336,298,225,227,40,236
"KBTBD4",1197,1116,216,580,535,417,705,809,320,132,652,187,399,1229,607,665,40,778,132,341
"KBTBD6",754,1143,429,558,641,882,985,1444,793,257,987,598,2195,2163,843,944,448,693,177,748
"KBTBD7",878,1426,314,327,509,713,1391,1166,815,294,729,457,1910,2236,750,1076,360,536,296,651
"KBTBD8",64,263,24,264,432,56,151,52,41,276,191,33,360,184,54,54,28,206,35,100
"KC6",0,7,0,3,3,0,164,0,4,0,37,0,0,0,4,1,0,7,0,0
"KC877373.1",0,3,2,2,1,0,2,2,2,6,0,10,2,3,0,1,25,1,0,0
"KC877392.1",0,0,0,0,6,1,0,0,0,0,2,1,0,0,0,1,0,2,0,0
"KC877982.1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCCAT198",0,0,0,0,0,0,6,0,0,2,3,0,1,0,0,0,0,0,3,0
"KCCAT333",1,4,1,1,7,2,25,0,17,2,13,4,3,1,1,1,4,3,0,496
"KCMF1",4967,3945,1767,2526,3656,2505,6248,3456,3564,1352,2735,2418,3858,4696,1938,2155,1745,2636,910,1629
"KCNA1",13,71,0,76,148,15,8,7,19,8,374,10,42,5,25,2,7,40,73,17
"KCNA10",0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0
"KCNA2",3,32,0,9,25,7,2,3,2,8,23,1,7,4,10,3,2,11,25,5
"KCNA3",23,326,5,115,265,12,20,9,21,51,128,9,164,64,44,37,0,120,96,35
"KCNA4",0,4,0,1,3,2,2,0,0,0,0,0,0,0,6,0,0,1,0,0
"KCNA5",92,51,14,111,54,29,37,25,29,12,27,12,19,17,38,18,5,41,2,27
"KCNA6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNA7",2,3,1,3,2,2,1,2,3,1,2,3,2,1,1,2,0,0,24,0
"KCNAB1",531,430,134,280,366,262,249,162,143,52,510,99,501,174,333,200,47,229,358,192
"KCNAB1-AS1",0,0,0,2,0,0,0,4,0,1,0,0,0,4,7,0,0,0,0,0
"KCNAB1-AS2",0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,21,0
"KCNAB2",998,2995,289,2457,6347,964,464,834,1077,2018,6384,720,1756,960,784,439,473,1847,318,1046
"KCNAB3",111,144,50,128,272,140,84,136,324,308,190,69,75,63,87,70,122,66,120,25
"KCNB1",174,239,29,72,481,310,45,140,21,5,323,12,81,120,131,60,6,258,106,23
"KCNB2",9,2,0,1,2,0,3,6,18,0,23,3,18,0,0,0,5,0,2,33
"KCNC1",7,70,3,13,18,68,29,29,21,12,31,57,133,10,32,4,5,8,28,3
"KCNC2",1003,0,9,36,0,1,745,543,12,1,5,8,5,78,655,122,0,9,2,5
"KCNC3",139,1337,157,2375,1663,66,5753,1382,102,105,882,182,914,151,996,45,726,490,331,492
"KCNC4",646,3665,489,1226,1366,493,503,1820,556,427,1733,210,499,803,1312,1357,282,1347,957,470
"KCND1",251,498,50,209,425,156,204,364,164,128,526,100,347,315,203,103,94,492,312,104
"KCND2",34,338,13,130,228,145,808,89,155,21,325,85,487,308,117,68,61,141,188,532
"KCND3",261,2993,1416,465,1007,288,3201,2752,519,80,767,22,332,4754,1276,229,92,403,968,1213
"KCND3-AS1",0,7,1,0,0,0,1,2,0,0,2,0,0,2,0,0,0,1,43,1
"KCND3-IT1",0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,15,0
"KCNE1",5,14,10,76,28,15,15,127,40,16,166,4,4,2,11,2,1,54,13,3
"KCNE1B",0,3,2,20,0,1,4,69,50,0,21,1,0,13,25,0,1,22,3,2
"KCNE2",22,32,10,9,14,3,29,53,12,16,9,24,24,11,12,15,23,13,1,14
"KCNE3",359,489,169,299,737,411,312,108,150,89,673,100,512,131,124,291,45,380,167,205
"KCNE4",692,3294,10119,737,1694,15705,6467,875,504,3160,4406,83,9131,8486,1770,2286,227,445,1520,1736
"KCNE5",3,12,1,7,25,11,7,3,5,2,12,1,13,1,2,2,2,9,0,4
"KCNF1",334,75,14,48,391,18,41,198,2597,6,36,1518,153,65,17,28,16,420,13,197
"KCNG1",281,104,5,62,122,11,6,326,43,67,29,134,328,20,26,4,19,9,5,15
"KCNG2",19,15,4,17,29,20,2,9,21,2,21,13,12,10,8,9,25,6,3,11
"KCNG3",100,20,7,6,8,4,33,1,19,7,14,23,15,13,0,44,0,48,14,4
"KCNG4",0,0,0,0,1,0,1,0,0,0,1,0,3,0,0,1,0,23,0,0
"KCNH1",536,105,19,12,82,65,1209,20,71,2,103,12,37,13,12,10,5,559,112,239
"KCNH1-IT1",12,6,1,2,12,45,308,1,27,0,12,1,1,1,0,1,5,39,24,7
"KCNH2",13,585,9,221,79,11,13,156,64,21,124,59,66,73,47,20,12,149,2,96
"KCNH3",41,230,9,93,148,122,20,158,267,56,100,69,15,51,122,9,21,77,16,11
"KCNH4",16,45,6,22,37,13,13,15,13,17,42,6,20,10,14,8,6,30,9,8
"KCNH5",0,0,1,2,0,0,0,0,4,0,4,1,0,0,1,0,0,4,0,0
"KCNH6",15,17,1,4,1,1,2,8,83,3,2,7,11,0,2,1,4,4,5,2
"KCNH7",8,1,3,2,6,1,10,3,4,1,13,0,2,10,2,3,1,3,15,2
"KCNH8",72,55,6,72,74,69,44,113,4,81,96,2,29,67,201,5,4,65,8,18
"KCNIP1",4,35,13,41,88,18,18,18,3,21,116,5,23,14,28,15,5,32,22,16
"KCNIP2",341,1023,96,265,3306,1925,119,137,298,192,802,215,452,178,185,57,138,149,243,45
"KCNIP2-AS1",10,22,11,8,16,8,7,11,22,9,16,11,7,10,5,8,2,0,7,6
"KCNIP3",228,534,297,301,296,234,177,738,332,154,584,645,264,211,263,89,81,134,90,108
"KCNIP4",84,209,38,73,55,81,124,213,72,17,128,86,83,99,90,74,32,111,166,56
"KCNIP4-IT1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0
"KCNJ1",11,9,4,11,33,4,9,5,7,4,18,7,1,14,4,2,3,11,2,2
"KCNJ10",33,77,53,55,104,13,67,13,29,191,72,14,123,45,13,29,35,68,120,22
"KCNJ11",1400,2605,905,635,795,1332,401,3320,4265,277,810,2410,692,2408,642,413,414,597,72,458
"KCNJ12",103,141,22,152,221,102,12,51,81,3,649,78,57,49,103,42,25,89,15,77
"KCNJ13",6,13,2,21,23,4,29,12,16,19,3,21,6,14,7,5,87,4,157,2
"KCNJ14",256,69,85,134,140,187,129,225,149,59,173,380,224,127,142,151,93,65,62,75
"KCNJ15",58,77,19,120,931,102,65,45,98,20,260,15,453,127,90,107,92,73,34,168
"KCNJ16",6,26,24,15,5,10,13,591,4,2,135,3,8,111,919,2,2,77,1,66
"KCNJ18",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,0
"KCNJ2",370,343,71,462,506,244,363,381,198,57,634,62,998,310,559,309,77,361,134,328
"KCNJ2-AS1",19,30,5,30,51,30,26,60,37,5,54,2,34,32,94,21,9,25,9,10
"KCNJ3",47352,376,2,1,191,19,91,48,3,7,1250,25,3,11,3,22956,4,10834,2947,8
"KCNJ4",0,0,2,1,0,1,0,0,2,0,0,3,1,1,0,1,0,0,0,0
"KCNJ5",176,584,198,583,1172,294,137,437,206,54,2199,239,800,239,279,256,108,757,127,299
"KCNJ6",6,5,1,2,36,8,3,4,25,1,9,4,79,38,2,13,19,2,81,74
"KCNJ6-AS1",0,0,0,0,5,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"KCNJ8",978,609,158,373,1902,13080,490,443,333,677,1178,6834,1157,306,445,494,127,535,183,332
"KCNJ9",11,3,5,6,3,0,1,7,1,0,3,1,2,7,3,10,1,3,117,3
"KCNK1",1140,362,31,3338,433,59,19076,819,178,429,427,2680,3137,6095,355,38,3553,170,2518,710
"KCNK10",0,28,24,16,47,4,1,6,8,1,17,5,4,12,6,6,0,22,6,2
"KCNK12",30,7,2,15,24,2,9,4,6,34,10,21,10,15,4,8,0,7,11,3
"KCNK13",66,165,117,116,744,61,91,88,194,40,344,41,110,52,61,73,31,148,26,69
"KCNK15",1136,1306,153,1168,737,2547,771,815,2124,445,386,4772,436,1289,159,153,176,1991,310,185
"KCNK15-AS1",23,26,1,13,27,35,44,23,41,21,26,50,71,44,9,7,3,29,51,13
"KCNK16",0,0,0,2,0,0,0,1,0,0,0,1,0,0,1,0,2,1,1,0
"KCNK17",21,22,9,94,136,41,61,520,21,4,48,10,31,39,19,13,6,62,1,31
"KCNK18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNK2",24,762,13,202,271,1468,106,276,33,16,501,9,478,112,418,156,35,2081,15,253
"KCNK3",291,80,11,227,226,124,32,1013,66,6,176,831,362,66,108,22,21,69,9,25
"KCNK4",0,0,0,0,0,0,0,6,0,0,2,1,0,1,2,1,0,0,1,1
"KCNK4-TEX40",0,0,0,1,2,1,0,1,0,1,2,0,1,0,1,1,0,1,0,0
"KCNK5",97,273,117,697,444,201,59,308,11865,100,433,863,208,195,445,161,731,599,31,231
"KCNK6",6346,3107,1584,1687,3690,6329,4779,3337,13668,1709,2942,6493,2182,3092,1811,1239,865,1126,426,2478
"KCNK7",5,22,15,16,35,18,9,36,135,9,30,43,1,7,21,11,21,15,0,8
"KCNK9",4,3,3,7,25,123,6,5,12,2,10,4,25,18,3,5,1,9,7,1
"KCNMA1",665,4366,466,2760,1653,232,1205,3935,1196,308,2428,349,2483,789,2872,395,544,1576,703,1100
"KCNMA1-AS1",6,48,1,14,4,2,8,10,6,3,8,30,7,3,7,1,0,14,33,3
"KCNMA1-AS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
"KCNMA1-AS3",4,13,5,1,2,0,3,6,4,1,8,3,4,9,10,0,5,2,53,1
"KCNMB1",276,349,315,761,261,215,397,4210,201,134,1306,102,275,553,777,112,146,653,272,403
"KCNMB2",1,3,1,9,1,3,0,3,3,0,6,2,5,2,4,0,1,2,8,3
"KCNMB2-AS1",6,0,4,2,5,0,6,2,5,3,4,0,11,1,1,0,2,0,3,2
"KCNMB3",667,458,266,66,153,229,1668,197,474,97,236,206,237,103,91,122,125,166,136,110
"KCNMB3P1",1,0,1,1,0,2,3,1,0,0,1,1,1,0,0,1,5,1,0,0
"KCNMB4",240,227,52,199,412,553,1492,902,519,74,305,153,598,204,208,134,241,159,47,577
"KCNN1",16,195,5,44,45,6,8,37,15,13,21,16,46,17,11,4,3,81,1,10
"KCNN2",207,13,24,36,49,44,88,36,74,7,50,209,226,57,40,58,46,61,6,49
"KCNN3",685,558,185,366,358,142,370,126,161,130,322,54,697,212,348,355,37,611,227,316
"KCNN4",1161,1033,197,1463,3322,3394,381,1702,1196,745,1382,200,946,752,1261,454,535,959,98,677
"KCNQ1",1669,2743,359,788,1537,324,244,1129,385,99,909,243,330,549,613,1865,75,913,37,344
"KCNQ1-AS1",8,1,6,0,4,4,4,6,2,0,8,2,3,2,2,1,0,8,6,2
"KCNQ1DN",1,0,0,1,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
"KCNQ1OT1",925,746,306,761,355,142,1072,267,423,74,806,790,750,552,217,307,487,353,7678,515
"KCNQ2",4,3,1,2,1,2,1,32,0,1,2,1,1,2,1,3,2,0,0,0
"KCNQ3",230,453,156,280,317,195,220,122,374,41,261,40,608,200,137,283,93,310,341,454
"KCNQ4",33,142,20,122,106,46,38,146,93,8,161,34,104,111,140,78,32,109,13,30
"KCNQ5",8,123,243,50,202,1,33,189,41,92,28,3,85,103,50,14,39,55,67,544
"KCNQ5-AS1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1
"KCNQ5-IT1",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,58,1
"KCNRG",19,15,7,16,17,21,43,21,99,23,13,19,18,41,11,7,15,15,169,6
"KCNS1",27,50,1,22,19,4,100,15,8,2,43,3,7,70,59,18,3,16,22,13
"KCNS2",11,94,2,25,67,20,7,3,11,0,42,11,30,9,25,14,3,41,13,9
"KCNS3",1526,1977,2851,627,1021,1137,4516,1215,6431,421,512,297,1383,3669,823,2051,1714,2792,573,973
"KCNT1",7,15,17,12,53,10,4,16,13,7,50,8,7,7,49,4,6,12,25,6
"KCNT2",46,88,12,99,123,37,30,22,15,6,119,4,112,41,66,37,9,84,59,61
"KCNU1",2,0,14,0,2,0,1,0,0,11,1,0,0,0,1,2,1,2,0,0
"KCNV1",0,0,0,0,1,0,1,1,0,0,3,0,2,3,2,0,0,1,0,0
"KCNV2",6,6,7,2,6,1,6,4,4,2,8,0,2,1,5,5,1,7,54,2
"KCP",209,94,37,45,178,89,37,77,170,22,502,67,23,12,30,16,19,165,8,12
"KCTD1",1635,2190,1561,877,891,715,4592,3822,1858,294,1582,883,1339,3395,1405,1544,1042,1023,782,1447
"KCTD10",5408,6929,1672,4712,6222,4410,3933,4407,7588,974,6536,3632,6776,4510,3482,2598,2018,5820,1673,3134
"KCTD10P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCTD11",821,2503,967,1310,2216,1530,472,1916,3021,428,2202,983,1087,3033,1254,641,886,1148,212,871
"KCTD12",5479,15457,2693,6927,14445,7265,4809,5523,3485,2339,12732,1610,19128,4560,5814,4562,1859,7947,3295,7746
"KCTD13",2533,2016,989,1575,1441,1139,1764,2190,3032,883,1806,1727,1353,1198,784,784,1212,1207,1028,766
"KCTD14",30,102,35,330,45,37,132,877,204,16,332,64,455,244,375,134,25,202,0,104
"KCTD15",3746,2989,1375,1955,2443,2092,796,3411,5803,735,2391,2380,4157,1502,1825,542,1107,1374,307,1210
"KCTD16",16,46,13,18,13,16,19,3,10,5,44,11,24,12,36,10,5,21,14,20
"KCTD17",1142,1554,334,1273,1781,1213,159,667,867,501,1175,977,485,832,354,373,172,1377,101,488
"KCTD18",1360,2019,825,1010,1458,1105,1297,1913,1190,463,1728,851,1139,1894,1078,1084,301,997,278,777
"KCTD19",8,49,49,13,35,3,23,96,14,6,38,5,17,5,16,3,6,15,9,2
"KCTD2",3866,5467,1336,2864,2681,2911,2140,4363,2813,796,3836,3836,3420,4800,2633,1989,2076,3394,523,2343
"KCTD20",7814,5184,1855,7196,6599,3183,6077,4875,4887,1417,6453,2226,7381,8273,3206,4763,1759,5251,2427,3658
"KCTD21",1182,955,1120,531,752,490,774,1112,1987,352,1190,519,1147,1772,545,723,533,561,261,732
"KCTD21-AS1",51,267,66,215,143,110,110,402,128,110,135,158,112,180,160,60,34,74,50,82
"KCTD3",13250,17905,7190,14937,5088,12035,37773,10999,10808,3224,8026,4165,10956,18664,4626,18125,5187,14202,6179,6400
"KCTD4",0,2,1,6,2,1,3,25,5,0,4,0,0,1,3,3,4,0,78,1
"KCTD5",2589,2803,958,2416,2787,1847,2137,2492,3087,1183,2411,1652,2217,2128,1288,1244,903,2226,317,1357
"KCTD6",1462,2699,715,418,805,1228,2511,1061,1811,422,771,918,806,2408,706,429,1250,2174,489,1138
"KCTD7",1408,1960,452,870,1562,909,1302,1163,746,233,2214,493,1309,1698,1154,836,297,859,657,656
"KCTD8",1,0,1,4,2,1,1,4,0,1,2,1,18,6,4,1,0,1,0,1
"KCTD9",1208,1942,934,1694,1801,792,2835,1980,1453,421,4036,223,1799,1920,1468,1036,463,1469,518,1108
"KCTD9P1",0,4,0,0,0,0,0,0,2,0,4,3,0,1,0,0,0,0,16,2
"KCTD9P2",0,1,1,2,0,0,1,0,0,1,3,0,0,1,1,1,0,0,1,0
"KCTD9P3",0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,14,0
"KCTD9P4",0,2,0,0,0,0,6,0,0,0,2,0,0,0,0,1,2,4,25,1
"KCTD9P5",0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,114,0
"KCTD9P6",0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,1,0
"KDELC1",607,396,46,271,705,286,343,240,598,49,677,166,1248,466,260,165,208,270,116,560
"KDELC1P1",1,1,2,0,2,0,4,1,3,0,4,3,16,5,0,0,1,2,98,1
"KDELC2",1870,2252,864,1830,2965,1552,2272,1010,2135,341,4059,541,4812,1687,1772,2872,779,2306,581,2269
"KDELR1",34110,9854,12495,7366,13075,11598,13971,13851,19227,4032,13335,16671,15257,19399,6533,6661,6699,8468,2648,7424
"KDELR2",28874,14673,13473,13895,16330,11225,24461,12399,19177,2595,18212,15997,31061,20283,7140,10593,12205,9780,2661,11631
"KDELR3",7879,1434,2500,1010,2395,607,4001,797,2697,102,2975,352,4597,3247,708,1240,1722,1223,758,1479
"KDF1",1404,1975,1106,686,431,689,1941,2773,1208,397,773,1098,1098,2891,1094,869,579,880,82,711
"KDM1A",7461,9025,4208,5034,4604,3017,8088,6983,4786,2301,4406,3915,5724,9593,3515,3555,1671,5237,1075,2975
"KDM1B",2214,2501,739,1044,1327,713,2114,1499,1420,420,1311,665,2090,2173,1010,2294,241,2239,637,980
"KDM2A",25838,18360,4515,9813,10660,12300,40667,12001,8346,4675,15169,5498,9514,11993,7931,9137,3188,16930,4300,5602
"KDM2B",2408,4547,996,1875,3579,1405,1432,2472,2206,1433,2863,1581,2164,2931,1584,1009,740,2614,463,1241
"KDM3A",5474,5318,2408,5385,3762,2543,6059,4862,3910,1385,3961,2337,3949,5023,3514,3468,1135,3924,2170,2365
"KDM3B",8646,12700,5166,4349,5760,3626,8500,7674,6779,2637,7312,3186,8699,10592,5584,5849,1996,8611,3090,3960
"KDM4A",4482,3673,1698,3028,3255,3122,2782,5299,2211,1202,3669,1388,2620,6545,3373,3567,637,2995,980,1984
"KDM4A-AS1",66,68,81,52,76,35,158,108,23,39,89,27,55,128,124,46,19,50,115,47
"KDM4B",11902,28107,11209,4745,8334,14814,10123,28316,15481,7801,7734,11643,2284,22793,13454,10179,3963,8491,1279,4595
"KDM4C",1028,1647,535,719,1461,770,1181,1445,980,585,1160,534,1256,1429,1024,869,592,654,586,546
"KDM4D",96,113,28,48,114,101,68,161,51,29,106,28,57,128,85,37,21,128,19,38
"KDM4E",0,8,0,3,0,1,1,2,0,2,3,0,0,4,6,0,1,2,4,0
"KDM4F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KDM5A",5540,8611,1361,4243,3722,2042,4408,4344,2911,1238,6281,2419,4929,5846,3035,5341,1093,6393,3887,2681
"KDM5B",16232,13008,3247,5677,5198,5722,26105,8134,11683,1099,6403,4186,15086,18252,4690,11051,4654,8193,5505,6087
"KDM5C",15080,16842,5288,9741,9532,7115,6653,12863,11462,3283,12172,5115,6539,12453,8269,7871,2768,8026,2620,4524
"KDM5C-IT1",2,7,0,1,0,1,7,0,1,2,5,5,0,1,0,3,0,3,9,0
"KDM5D",0,3,0,3,1,0,1,0,1,1,0,0,2,2,0,0,0,1,2,0
"KDM5DP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KDM6A",4389,4790,850,2613,3003,2152,2547,3510,2633,776,2940,835,3084,3679,2444,2976,403,2674,1830,1497
"KDM6B",2887,6773,1986,11258,4993,3224,2726,5391,7870,908,6821,1969,1874,5689,4086,1902,2173,3262,1887,1229
"KDM7A",1557,3597,520,2862,3801,808,2071,1892,2347,755,3139,1353,3265,1259,1617,2528,2026,3272,1424,2006
"KDM7A-DT",224,498,83,462,781,113,198,550,576,87,617,1207,457,143,300,278,833,713,80,386
"KDM8",284,567,116,338,419,187,207,558,329,197,376,237,243,398,264,210,141,322,154,275
"KDR",6567,3497,1805,1951,4670,1825,1942,1427,1641,359,2667,622,4853,1917,1633,4980,338,4662,1314,2452
"KDSR",6383,5582,2261,4265,3573,4605,7642,5918,2930,1212,5386,3134,6952,7550,3395,5027,2752,4464,1362,2752
"KEAP1",9563,7835,3972,4401,4895,3816,1625,5748,7605,1252,4811,5565,3471,6727,3139,3453,2136,4741,199,2673
